epoch,train_loss,val_loss,val_mu_mae,val_alpha_mae,val_gap_mae
100,0.4712,0.4617,4.113,1.1343,0.0107
101,0.4605,0.4613,4.1274,1.1248,0.0107
102,0.4583,0.4828,4.1243,1.4418,0.0105
103,0.4508,0.4591,4.0917,1.1595,0.0104
104,0.4477,0.4616,4.1378,1.1994,0.0104
105,0.4557,0.4615,4.0707,1.1614,0.0104
106,0.4542,0.4694,4.081,1.3089,0.0103
107,0.4518,0.4589,4.1463,1.1433,0.0105
108,0.451,0.4506,4.1218,1.1539,0.0102
109,0.4498,0.464,4.1595,1.2078,0.0106
110,0.4501,0.5017,4.1761,1.1602,0.0128
111,0.4495,0.4468,4.1385,1.0995,0.0102
112,0.4429,0.4498,4.0897,1.1219,0.0102
113,0.4377,0.4651,4.1076,1.3413,0.0102
114,0.4417,0.4492,4.0663,1.1028,0.0102
115,0.4461,0.4442,4.145,1.1404,0.0101
116,0.4425,0.4782,4.0624,1.404,0.0104
117,0.4418,0.4441,4.0931,1.0853,0.0102
118,0.4283,0.4454,4.114,1.191,0.01
119,0.4428,0.4488,4.0529,1.1863,0.01
120,0.4328,0.437,4.1335,1.0928,0.01
121,0.4434,0.4452,4.1023,1.1101,0.0101
122,0.4262,0.4386,4.1219,1.156,0.0099
123,0.4346,0.4346,4.1081,1.0881,0.01
124,0.4316,0.4448,4.0936,1.2011,0.0099
125,0.4229,0.4457,4.0863,1.0845,0.0102
126,0.4269,0.4759,4.2344,1.3704,0.0102
127,0.4229,0.4815,4.0773,1.4301,0.0103
128,0.4146,0.4283,4.0932,1.0805,0.0098
129,0.4139,0.4268,4.1361,1.0525,0.0098
130,0.4115,0.4365,4.134,1.1615,0.0097
131,0.4087,0.4219,4.1408,1.0433,0.0097
132,0.4085,0.4228,4.1307,1.0652,0.0097
133,0.4063,0.4234,4.1069,1.0382,0.0098
134,0.4063,0.432,4.0941,1.1706,0.0097
135,0.4051,0.426,4.1387,1.0895,0.0096
136,0.4005,0.4204,4.1286,1.0373,0.0097
137,0.4003,0.4222,4.1133,1.084,0.0096
138,0.3989,0.4167,4.1165,1.0308,0.0096
139,0.3983,0.4167,4.1197,1.0305,0.0096
140,0.3976,0.4212,4.0958,1.0612,0.0096
141,0.3975,0.417,4.1031,1.0284,0.0096
142,0.3964,0.4189,4.1142,1.0553,0.0096
143,0.3958,0.4163,4.1393,1.0178,0.0096
144,0.3948,0.4152,4.0745,1.0198,0.0095
145,0.3943,0.414,4.1378,1.0196,0.0095
146,0.3939,0.4119,4.1359,1.0109,0.0095
147,0.3933,0.4191,4.1179,1.0527,0.0097
148,0.3927,0.4144,4.1351,1.0345,0.0095
149,0.3927,0.4122,4.1052,1.0154,0.0095
150,0.3917,0.4127,4.0917,1.0126,0.0095
151,0.3893,0.4096,4.1104,1.0041,0.0094
152,0.3894,0.4096,4.1246,1.0115,0.0094
153,0.3887,0.409,4.1121,1.0007,0.0094
154,0.3887,0.4093,4.1223,1.0034,0.0094
155,0.3881,0.4096,4.1219,1.0049,0.0094
156,0.388,0.4095,4.148,1.0012,0.0094
157,0.3876,0.409,4.1039,1.0029,0.0094
158,0.3875,0.4089,4.1016,1.0079,0.0094
159,0.387,0.4078,4.1055,0.9988,0.0094
160,0.3871,0.4083,4.1151,1.0125,0.0094
161,0.3869,0.4077,4.1148,0.9997,0.0094
162,0.3864,0.4084,4.1223,1.0005,0.0094
163,0.3864,0.4073,4.126,1.004,0.0094
164,0.3856,0.4066,4.1167,0.9941,0.0094
165,0.3854,0.4066,4.1163,0.9967,0.0094
166,0.3854,0.4068,4.1136,0.996,0.0094
167,0.3849,0.4062,4.118,0.9977,0.0094
168,0.3847,0.4063,4.1233,1.0011,0.0094
169,0.3842,0.405,4.1163,0.9908,0.0093
170,0.3841,0.4064,4.1262,0.996,0.0094
171,0.3843,0.4059,4.153,0.9906,0.0094
172,0.3834,0.4052,4.1073,0.9914,0.0093
173,0.3831,0.4048,4.1383,0.9879,0.0093
174,0.383,0.4041,4.1278,0.9881,0.0093
175,0.3825,0.4042,4.1196,0.9913,0.0093
176,0.3825,0.4056,4.1257,1.0101,0.0093
177,0.3826,0.404,4.1232,0.9911,0.0093
178,0.3823,0.4044,4.123,0.9946,0.0093
179,0.381,0.4029,4.1236,0.9845,0.0093
180,0.3809,0.403,4.1169,0.9843,0.0093
181,0.3807,0.403,4.1252,0.9892,0.0093
182,0.3805,0.4026,4.1164,0.9839,0.0093
183,0.3803,0.4024,4.115,0.9822,0.0093
184,0.3802,0.4024,4.1206,0.9825,0.0093
185,0.3801,0.4023,4.1156,0.9841,0.0093
186,0.3798,0.402,4.12,0.9816,0.0093
187,0.3796,0.4019,4.1184,0.9804,0.0093
188,0.3796,0.4017,4.1227,0.9798,0.0093
189,0.3795,0.4018,4.1181,0.9816,0.0093
190,0.3793,0.4022,4.1247,0.9802,0.0093
191,0.3793,0.4017,4.1147,0.9826,0.0093
192,0.3789,0.4015,4.1315,0.9802,0.0093
